state,inicio,varinicio,varfim,PT_V,id,vir,inteiro,real,Lit,lit,leia,escreva,Num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,faca-ate,fimfaca,fim,EOF,P,V,A,LV,D,L,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CP_R
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,Acc,,,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,5,,,,,6,,7,,,8,14,,,9,
4,,,s19,,s21,,,,,,,,,,,,,,,,,,,,,,,,17,18,20,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,
6,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,22,,,,,6,,7,,,8,14,,,9,
7,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,23,,,,,6,,7,,,8,14,,,9,
8,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,24,,,,,6,,7,,,8,14,,,9,
9,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,25,,,,,6,,7,,,8,14,,,9,
10,,,,,,,,,,,,,,,,,,,,,,,,,R38,,,,,,,,,,,,,,,,,,
11,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,s30,,,,s28,,,,s29,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
13,,,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s13,,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,33,,34,,,35,14,,32,,
15,,,,,,,,,,,,,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,R3,,,,,,R3,R3,,,,R3,,,,,,R3,,R3,,,,,,,,,,,,,,,,,,,
18,,,s19,,s21,,,,,,,,,,,,,,,,,,,,,,,,39,18,20,,,,,,,,,,,,
19,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,s42,s43,,s44,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,
21,,,,,,s45,R8,R8,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,R24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,,
26,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,s50,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,48,49,,,,,,
32,,,,,R25,,,,,,R25,R25,,,,R25,,,,,R25,R25,R25,R25,,,,,,,,,,,,,,,,,,,
33,,,,,s13,,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,33,,34,,,35,14,,52,,
34,,,,,s13,,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,33,,34,,,35,14,,53,,
35,,,,,s13,,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,33,,34,,,35,14,,54,,
36,,,,,R31,,,,,,R31,R31,,,,R31,,,,,R31,R31,R31,R31,,,,,,,,,,,,,,,,,,,
37,,,,,s50,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,56,,,55,,,
38,,,,,s50,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,56,,,57,,,
39,,,,,R4,,,,,,R4,R4,,,,R4,,,,,,R4,,R4,,,,,,,,,,,,,,,,,,,
40,,,,,R5,,,,,,R5,R5,,,,R5,,,,,,R5,,R5,,,,,,,,,,,,,,,,,,,
41,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,
46,,,,,R13,,,,,,R13,R13,,,,R13,,,,,R13,R13,R13,R13,,,,,,,,,,,,,,,,,,,
47,,,,,R14,,,,,,R14,R14,,,,R14,,,,,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,
48,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,R21,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,R22,,,,,,,,,,,R22,,,R22,,R22,,,,,,,,,,,,,,,,,,,,,,,
51,,,,R23,,,,,,,,,,,R23,,,R23,,R23,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,R28,,,,,,R28,R28,,,,R28,,,,,R28,R28,R28,R28,,,,,,,,,,,,,,,,,,,
53,,,,,R29,,,,,,R29,R29,,,,R29,,,,,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,
54,,,,,R30,,,,,,R30,R30,,,,R30,,,,,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,R6,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,R7,R7,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,R19,,,,,R19,R19,,,,,R19,,,,,R19,R19,R19,R19,,,,,,,,,,,,,,,,,,,
61,,,,,s50,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
62,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,67,,68,,,69,14,,,,66
63,,,,,s50,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,
64,,,,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,R33,,,,,,R33,R33,,,,R33,,,,,,R33,,R33,,,,,,,,,,,,,,,,,,,
67,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,67,,68,,,69,14,,,,73
68,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,67,,68,,,69,14,,,,74
69,,,,,s13,,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,67,,68,,,69,14,,,,75
70,,,,,R37,,,,,,R37,R37,,,,R37,,,,,,R37,,R37,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,R26,,,,,,R26,R26,,,,R26,,,,,R26,,,,,,,,,,,,,,,,,,,,,,
73,,,,,R34,,,,,,R34,R34,,,,R34,,,,,,R34,,R34,,,,,,,,,,,,,,,,,,,
74,,,,,R35,,,,,,R35,R35,,,,R35,,,,,,R35,,R35,,,,,,,,,,,,,,,,,,,
75,,,,,R36,,,,,,R36,R36,,,,R36,,,,,,R36,,R36,,,,,,,,,,,,,,,,,,,
